,current_nA,time_s,substrate_reference_mM,SMA_10
151,2.0573750000000004,151,0.0,0.0
152,2.0010090000000003,152,0.0,0.0
153,1.907065,153,0.0,0.0
154,2.0010090000000003,154,0.0,0.0
155,2.0761640000000003,155,0.0,0.0
156,1.907065,156,0.0,0.0
157,1.972826,157,0.0,0.0
158,1.8859275,158,0.0,0.0
159,1.822515,159,0.0,0.0
160,1.8413040000000003,160,0.0,0.0
161,1.8413040000000003,161,0.0,0.0
162,1.8553955000000002,162,0.0,0.0
163,1.8694870000000001,163,0.0,0.0
164,1.797854625,164,0.0,0.0
165,1.74736,165,0.0,0.0
166,1.7191760000000003,166,0.0,0.0
167,1.74736,167,0.0,0.0
168,1.74736,168,0.0,0.0
169,1.7097820000000001,169,0.0,0.0
170,1.653416,170,0.0,0.0
171,1.6628100000000001,171,0.0,0.0
172,1.728571,172,0.0,0.0
173,1.653416,173,0.0,0.0
174,1.5406830000000002,174,0.0,0.0
175,1.5782600000000002,175,0.0,0.0
176,1.615838,176,0.0,0.0
177,1.6440210000000002,177,0.0,0.0
178,1.7003880000000002,178,0.0,0.0
179,1.512499,179,0.0,0.0
180,1.5970490000000002,180,0.0,0.0
181,1.531288,181,0.0,0.0
182,1.503105,182,0.0,0.0
183,1.5500770000000001,183,0.0,0.0
184,1.6628100000000001,184,0.0,0.0
185,1.4373440000000002,185,0.0,0.0
186,1.503105,186,0.0,0.0
187,1.474922,187,0.0,0.0
188,1.512499,188,0.0,0.0
189,1.512499,189,0.0,0.0
190,1.465527,190,0.0,0.0
191,1.465527,191,0.0,0.0
192,1.3997670000000002,192,0.0,0.0
193,1.512499,193,0.0,0.0
194,1.446739,194,0.0,0.0
195,1.446739,195,0.0,0.0
196,1.43734425,196,0.0,0.0
197,1.4373440000000002,197,0.0,0.0
198,1.4185550000000002,198,0.0,0.0
199,1.371583,199,0.0,0.0
200,1.324611,200,0.0,0.0
201,1.352794,201,0.0,0.0
202,1.2776390000000002,202,0.0,0.0
203,1.4561330000000001,203,0.0,0.0
204,1.409161,204,0.0,0.0
205,1.3809780000000003,205,0.0,0.0
206,1.324611,206,0.0,0.0
207,1.3434,207,0.0,0.0
208,1.2494560000000001,208,0.0,0.0
209,1.2494560000000001,209,0.0,0.0
210,1.2776390000000002,210,0.0,0.0
211,1.23066725,211,0.0,0.0
212,1.174301,212,0.0,0.0
213,1.221273,213,0.0,0.0
214,1.2494560000000001,214,0.0,0.0
215,1.1367230000000001,215,0.0,0.0
216,1.324611,216,0.0,0.0
217,1.164906,217,0.0,0.0
218,1.221273,218,0.0,0.0
219,1.1930900000000002,219,0.0,0.0
220,1.1907409999999998,220,0.0,0.0
221,1.164906,221,0.0,0.0
222,1.183695,222,0.0,0.0
223,1.080357,223,0.0,0.0
224,1.240062,224,0.0,0.0
225,1.0709620000000002,225,0.0,0.0
226,1.0991450000000003,226,0.0,0.0
227,1.0897510000000001,227,0.0,0.0
228,1.042779,228,0.0,0.0
229,1.042779,229,0.0,0.0
230,1.1367230000000001,230,0.0,0.0
231,1.0897510000000001,231,0.0,0.0
232,1.033384,232,0.0,0.0
233,1.005201,233,0.0,0.0
234,1.014596,234,0.0,0.0
235,1.080357,235,0.0,0.0
236,1.0991450000000003,236,0.0,0.0
237,1.155512,237,0.0,0.0
238,1.005201,238,0.0,0.0
239,1.0897510000000001,239,0.0,0.0
240,1.2024839999999999,240,0.0,0.0
241,1.0709620000000002,241,0.0,0.0
242,1.005201,242,0.0,0.0
243,0.986413,243,0.0,0.0
244,1.061568,244,0.0,0.0
245,1.061568,245,0.0,0.0
246,1.052173,246,0.0,0.0
247,1.014596,247,0.0,0.0
248,0.93944,248,0.0,0.0
249,1.052173,249,0.0,0.0
250,1.0991450000000003,250,0.0,0.0
251,1.014596,251,0.0,0.0
252,0.995807,252,0.0,0.0
